subset,label,n,freq_min,freq_max,freq_mean,wood_n,carbon_n
class_balanced,0,653,150.0,190.0,171.18682861328125,280,373
class_balanced,1,653,320.0,360.0,340.2220458984375,302,351
class_balanced,2,653,500.0,556.0,528.4716796875,389,264
class_balanced,3,653,550.0,605.0,579.2664794921875,352,301
class_balanced,4,653,700.0,1550.0,1026.43798828125,298,355
class_material_balanced,0,560,150.0,190.0,169.82142639160156,280,280
class_material_balanced,1,560,320.0,360.0,339.5178527832031,280,280
class_material_balanced,2,560,500.0,556.0,530.4803466796875,280,280
class_material_balanced,3,560,550.0,605.0,580.13037109375,280,280
class_material_balanced,4,560,700.0,1550.0,1010.971435546875,280,280
class_material_freqmatched,0,184,150.0,170.0,165.0,92,92
class_material_freqmatched,1,184,325.0,345.0,337.5,89,95
class_material_freqmatched,2,184,525.0,549.0,535.021728515625,90,94
class_material_freqmatched,3,184,550.0,595.0,580.0108642578125,98,86
class_material_freqmatched,4,184,700.0,1530.0,981.896728515625,86,98
