subset,protocol,method,n_folds,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,accuracy_mean,weighted_f1_mean,worst_group,worst_group_macro_f1,best_group,best_group_macro_f1
class_balanced,board_lobo,frequency_only_lr,6,0.9798163424737417,0.01016648863264788,0.9783389973906144,0.9793811928139676,0.9791767537881947,W03,0.9673182957393485,C01,1.0
class_balanced,board_lobo,frequency_plus_v62a_lr,6,0.9518113646040264,0.008192497068011827,0.9496117699570985,0.9539987213688325,0.9542401751458996,W01,0.9380094895955379,W02,0.9632891195688638
class_balanced,board_lobo,v61_knn,6,0.9022556172749349,0.028552946443976556,0.9036611820018088,0.9087027780493052,0.9087517000646055,W02,0.8633849644782652,C03,0.9495888657007491
class_balanced,board_lobo,v62a_knn,6,0.9441600755614384,0.010270994002050813,0.9412168701048462,0.9470009148362228,0.9470496590893559,W01,0.9255804597836754,C03,0.9548115460527337
class_balanced,material_lomo,frequency_only_lr,2,0.9404603671471284,0.003492435212753553,0.9392909802725239,0.9423390685813179,0.9406617237089822,wood,0.9369679319343749,carbon,0.943952802359882
class_balanced,material_lomo,frequency_plus_v62a_lr,2,0.9493705506023946,0.003756520319976142,0.9467189065433391,0.9479429807379123,0.9481630608508814,carbon,0.9456140302824185,wood,0.9531270709223708
class_balanced,material_lomo,v61_knn,2,0.8863567567812355,0.014362719332182139,0.8879767013236779,0.8853036709489651,0.8847169125186864,wood,0.8719940374490533,carbon,0.9007194761134176
class_balanced,material_lomo,v62a_knn,2,0.9364364435362027,0.005683562385065344,0.9333507500826387,0.9356308097341612,0.9358537272312244,wood,0.9307528811511373,carbon,0.942120005921268
class_balanced,stratified,frequency_only_lr,1,0.9712084032889923,0.0,0.971228473019518,0.9707241910631741,0.9707254513760991,validation,0.9712084032889923,validation,0.9712084032889923
class_balanced,stratified,frequency_plus_v62a_lr,1,0.9556721615838732,0.0,0.955839623225146,0.9553158705701078,0.9552953729746247,validation,0.9556721615838732,validation,0.9556721615838732
