evaluation,group,method,n_samples,n_active_classes,accuracy,macro_recall,macro_f1,support_0_1_1H,support_1_1_1T,support_2_1_2,support_3_2_1,support_4_higher,train_samples,confusion_matrix
lobo_board,C01,knn_cosine_k10,2733,5,0.9831686791072082,0.9201998115330718,0.9362710643438458,129,170,57,77,2300,10211,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C01_knn_cosine_k10.csv
lobo_board,C01,nearest_class_prototype_cosine,2733,5,0.8653494328576655,0.919050587407836,0.7061974583366004,129,170,57,77,2300,10211,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C01_nearest_class_prototype_cosine.csv
lobo_board,C01,linear_probe_logistic_regression,2733,5,0.9773143066227589,0.9220096787932641,0.9165191543872782,129,170,57,77,2300,10211,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C01_linear_probe_logistic_regression.csv
lobo_board,C02,knn_cosine_k10,2319,5,0.9620526088831393,0.9234259531327295,0.9283136327131384,134,112,141,157,1775,10625,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C02_knn_cosine_k10.csv
lobo_board,C02,nearest_class_prototype_cosine,2319,5,0.7723156532988357,0.910595477822439,0.6942237838021923,134,112,141,157,1775,10625,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C02_nearest_class_prototype_cosine.csv
lobo_board,C02,linear_probe_logistic_regression,2319,5,0.9327296248382924,0.9355004710591169,0.8801985633458234,134,112,141,157,1775,10625,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C02_linear_probe_logistic_regression.csv
lobo_board,C03,knn_cosine_k10,1637,5,0.9761759315821625,0.9372230028357423,0.9568787325554176,110,74,98,117,1238,11307,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C03_knn_cosine_k10.csv
lobo_board,C03,nearest_class_prototype_cosine,1637,5,0.811240073304826,0.9165882407516379,0.7338393862079899,110,74,98,117,1238,11307,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C03_nearest_class_prototype_cosine.csv
lobo_board,C03,linear_probe_logistic_regression,1637,5,0.9712889431887599,0.9318406502343727,0.9436721875598206,110,74,98,117,1238,11307,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_C03_linear_probe_logistic_regression.csv
lobo_board,W01,knn_cosine_k10,2419,5,0.9508061182306738,0.9101658874594394,0.9081748250444873,116,107,177,185,1834,10525,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W01_knn_cosine_k10.csv
lobo_board,W01,nearest_class_prototype_cosine,2419,5,0.7408019842910294,0.8833991059520784,0.6698716815929832,116,107,177,185,1834,10525,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W01_nearest_class_prototype_cosine.csv
lobo_board,W01,linear_probe_logistic_regression,2419,5,0.9400578751550227,0.9248966046919669,0.892551875371845,116,107,177,185,1834,10525,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W01_linear_probe_logistic_regression.csv
lobo_board,W02,knn_cosine_k10,2370,5,0.9801687763713081,0.9401787367526493,0.9541233451123035,74,113,142,169,1872,10574,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W02_knn_cosine_k10.csv
lobo_board,W02,nearest_class_prototype_cosine,2370,5,0.8396624472573839,0.9229528439226039,0.7434889568768628,74,113,142,169,1872,10574,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W02_nearest_class_prototype_cosine.csv
lobo_board,W02,linear_probe_logistic_regression,2370,5,0.9725738396624473,0.9540851064415528,0.9286844145744905,74,113,142,169,1872,10574,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W02_linear_probe_logistic_regression.csv
lobo_board,W03,knn_cosine_k10,1466,5,0.9645293315143247,0.9332329061547032,0.930083326693231,90,93,123,64,1096,11478,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W03_knn_cosine_k10.csv
lobo_board,W03,nearest_class_prototype_cosine,1466,5,0.7748976807639836,0.8891629572891562,0.7108695246887343,90,93,123,64,1096,11478,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W03_nearest_class_prototype_cosine.csv
lobo_board,W03,linear_probe_logistic_regression,1466,5,0.9597544338335607,0.9172238114996525,0.9224403924770904,90,93,123,64,1096,11478,C:\Users\George mini-PC\Documents\Playground\v62_encoder_evidence\embedding_audit_v001\grouped_generalization_v001\confusion_matrices\lobo_board_W03_linear_probe_logistic_regression.csv
