protocol,family,feature_kind,true_id,true_name,pred_id,pred_name,count
stratified,lr,freq,2,2,2,2,138
stratified,lr,freq,2,2,3,3,9
stratified,lr,freq,3,3,2,2,14
stratified,lr,freq,3,3,3,3,140
stratified,lr,embed,2,2,2,2,140
stratified,lr,embed,2,2,3,3,7
stratified,lr,embed,3,3,2,2,11
stratified,lr,embed,3,3,3,3,143
stratified,lr,fusion,2,2,2,2,146
stratified,lr,fusion,2,2,3,3,1
stratified,lr,fusion,3,3,2,2,4
stratified,lr,fusion,3,3,3,3,150
stratified,rf,freq,2,2,2,2,139
stratified,rf,freq,2,2,3,3,8
stratified,rf,freq,3,3,2,2,2
stratified,rf,freq,3,3,3,3,152
stratified,rf,embed,2,2,2,2,138
stratified,rf,embed,2,2,3,3,9
stratified,rf,embed,3,3,2,2,15
stratified,rf,embed,3,3,3,3,139
stratified,rf,fusion,2,2,2,2,139
stratified,rf,fusion,2,2,3,3,8
stratified,rf,fusion,3,3,2,2,14
stratified,rf,fusion,3,3,3,3,140
board_lobo,lr,freq,2,2,2,2,708
board_lobo,lr,freq,2,2,3,3,30
board_lobo,lr,freq,3,3,2,2,52
board_lobo,lr,freq,3,3,3,3,717
board_lobo,lr,embed,2,2,2,2,679
board_lobo,lr,embed,2,2,3,3,59
board_lobo,lr,embed,3,3,2,2,53
board_lobo,lr,embed,3,3,3,3,716
board_lobo,lr,fusion,2,2,2,2,723
board_lobo,lr,fusion,2,2,3,3,15
board_lobo,lr,fusion,3,3,2,2,15
board_lobo,lr,fusion,3,3,3,3,754
board_lobo,rf,freq,2,2,2,2,663
board_lobo,rf,freq,2,2,3,3,75
board_lobo,rf,freq,3,3,2,2,35
board_lobo,rf,freq,3,3,3,3,734
board_lobo,rf,embed,2,2,2,2,693
board_lobo,rf,embed,2,2,3,3,45
board_lobo,rf,embed,3,3,2,2,30
board_lobo,rf,embed,3,3,3,3,739
board_lobo,rf,fusion,2,2,2,2,701
board_lobo,rf,fusion,2,2,3,3,37
board_lobo,rf,fusion,3,3,2,2,23
board_lobo,rf,fusion,3,3,3,3,746
material_lomo,lr,freq,2,2,2,2,652
material_lomo,lr,freq,2,2,3,3,86
material_lomo,lr,freq,3,3,2,2,130
material_lomo,lr,freq,3,3,3,3,639
material_lomo,lr,embed,2,2,2,2,675
material_lomo,lr,embed,2,2,3,3,63
material_lomo,lr,embed,3,3,2,2,30
material_lomo,lr,embed,3,3,3,3,739
material_lomo,lr,fusion,2,2,2,2,714
material_lomo,lr,fusion,2,2,3,3,24
material_lomo,lr,fusion,3,3,2,2,24
material_lomo,lr,fusion,3,3,3,3,745
material_lomo,rf,freq,2,2,2,2,652
material_lomo,rf,freq,2,2,3,3,86
material_lomo,rf,freq,3,3,2,2,130
material_lomo,rf,freq,3,3,3,3,639
material_lomo,rf,embed,2,2,2,2,703
material_lomo,rf,embed,2,2,3,3,35
material_lomo,rf,embed,3,3,2,2,56
material_lomo,rf,embed,3,3,3,3,713
material_lomo,rf,fusion,2,2,2,2,702
material_lomo,rf,fusion,2,2,3,3,36
material_lomo,rf,fusion,3,3,2,2,43
material_lomo,rf,fusion,3,3,3,3,726
