accuracy,balanced_accuracy,macro_f1,weighted_f1,protocol,family,feature_kind,heldout_group,n_train,n_test
0.8955223880597015,0.8908635224424698,0.8926282051282051,0.8952592805204745,board_lobo,lr,embed,C01,1373,134
0.9630872483221476,0.9609929078014184,0.9627817201248936,0.9629627738714145,board_lobo,lr,embed,C02,1209,298
0.9395348837209302,0.9353305424733995,0.9384916705178143,0.9391995651913574,board_lobo,lr,embed,C03,1292,215
0.8950276243093923,0.8953428004275461,0.8950244200244201,0.895037237164309,board_lobo,lr,embed,W01,1145,362
0.9421221864951769,0.9416826402200182,0.9416826402200182,0.9421221864951769,board_lobo,lr,embed,W02,1196,311
0.9037433155080213,0.874364837398374,0.888572563559322,0.9015446558053113,board_lobo,lr,embed,W03,1320,187
1.0,1.0,1.0,1.0,board_lobo,lr,freq,C01,1373,134
0.9362416107382551,0.9326241134751774,0.9353497984676692,0.9357574840770798,board_lobo,lr,freq,C02,1209,298
0.9488372093023256,0.9438775510204082,0.9478212906784336,0.9484647058068985,board_lobo,lr,freq,C03,1292,215
0.9475138121546961,0.9486486486486487,0.9474653040336687,0.9474300254001942,board_lobo,lr,freq,W01,1145,362
0.9421221864951769,0.9467455621301775,0.9420736754966887,0.9422192084921532,board_lobo,lr,freq,W02,1196,311
0.9197860962566845,0.8828125,0.9048926864001627,0.9167671618263084,board_lobo,lr,freq,W03,1320,187
0.9477611940298507,0.9408749145591251,0.9458773296405285,0.9473844211519863,board_lobo,lr,fusion,C01,1373,134
0.9899328859060402,0.9893617021276595,0.9898917947152404,0.9899263978232825,board_lobo,lr,fusion,C02,1209,298
0.9906976744186047,0.9897959183673469,0.9906080726891491,0.9906891409205612,board_lobo,lr,fusion,C03,1292,215
0.9806629834254144,0.9805924568636433,0.9806510235715431,0.9806616545527621,board_lobo,lr,fusion,W01,1145,362
0.9903536977491961,0.9911242603550297,0.9902959072234645,0.9903609215649126,board_lobo,lr,fusion,W02,1196,311
0.9572192513368984,0.9375,0.9509186351706036,0.9564669389588333,board_lobo,lr,fusion,W03,1320,187
0.9104477611940298,0.9061289587605377,0.9079670329670331,0.9102222404461211,board_lobo,rf,embed,C01,1373,134
0.9731543624161074,0.9719925915887428,0.9730072463768116,0.9731142398599358,board_lobo,rf,embed,C02,1209,298
0.9627906976744186,0.9608407465550323,0.9623599439775911,0.9627157839880137,board_lobo,rf,embed,C03,1292,215
0.93646408839779,0.9358833409680867,0.9363236587510995,0.9363897432907186,board_lobo,rf,embed,W01,1145,362
0.9581993569131833,0.9570380865072089,0.9578067438244227,0.9581600956043071,board_lobo,rf,embed,W02,1196,311
0.9411764705882353,0.9178099593495934,0.9322128851540616,0.9399901136925359,board_lobo,rf,embed,W03,1320,187
0.8283582089552238,0.7982456140350878,0.8086546222139442,0.8178190811633766,board_lobo,rf,freq,C01,1373,134
0.8691275167785235,0.8617021276595744,0.86451229321862,0.8658549037087737,board_lobo,rf,freq,C02,1209,298
0.9395348837209302,0.9336734693877551,0.9381650848432557,0.938978402926875,board_lobo,rf,freq,C03,1292,215
0.9502762430939227,0.9513513513513514,0.9502382697947214,0.9502078911553603,board_lobo,rf,freq,W01,1145,362
0.9453376205787781,0.9497041420118344,0.9452810465633765,0.945433796404961,board_lobo,rf,freq,W02,1196,311
1.0,1.0,1.0,1.0,board_lobo,rf,freq,W03,1320,187
0.9253731343283582,0.9168375484164958,0.9224537037037037,0.9246994195688226,board_lobo,rf,fusion,C01,1373,134
0.9765100671140939,0.9755386908795229,0.9763928341047723,0.976482154492827,board_lobo,rf,fusion,C02,1209,298
0.9674418604651163,0.9642857142857143,0.966958659904718,0.9673117680065476,board_lobo,rf,fusion,C03,1292,215
0.9585635359116023,0.9584822110245839,0.9585379076533067,0.958560688327347,board_lobo,rf,fusion,W01,1145,362
0.9678456591639871,0.9664763730310859,0.9675229741019215,0.9678040223817852,board_lobo,rf,fusion,W02,1196,311
0.9411764705882353,0.9178099593495934,0.9322128851540616,0.9399901136925359,board_lobo,rf,fusion,W03,1320,187
0.9459041731066461,0.9427311927311928,0.9451473113825687,0.9456950402618353,material_lomo,lr,embed,carbon,860,647
0.9325581395348838,0.9328952780965165,0.9325450060585079,0.9325712730112595,material_lomo,lr,embed,wood,647,860
0.8670788253477589,0.8547297297297297,0.8604512349270681,0.8630364652330111,material_lomo,lr,freq,carbon,860,647
0.8488372093023255,0.8444976076555024,0.8438294472288806,0.844609877681885,material_lomo,lr,freq,wood,647,860
0.9613601236476044,0.9580349580349581,0.9607902551360523,0.961192085496762,material_lomo,lr,fusion,carbon,860,647
0.9732558139534884,0.972488038277512,0.9731756964758181,0.9732166075282455,material_lomo,lr,fusion,wood,647,860
0.9474497681607419,0.9486553861553861,0.9472166234763413,0.947514831793598,material_lomo,rf,embed,carbon,860,647
0.9337209302325581,0.9333769945225053,0.9336231958630271,0.9336942754045042,material_lomo,rf,embed,wood,647,860
0.8670788253477589,0.8547297297297297,0.8604512349270681,0.8630364652330111,material_lomo,rf,freq,carbon,860,647
0.8488372093023255,0.8444976076555024,0.8438294472288806,0.844609877681885,material_lomo,rf,freq,wood,647,860
0.9629057187017002,0.9626357126357126,0.9626357126357126,0.9629057187017002,material_lomo,rf,fusion,carbon,860,647
0.936046511627907,0.935769339020113,0.9359633054848173,0.9360277231439835,material_lomo,rf,fusion,wood,647,860
0.9401993355481728,0.9404761904761905,0.9401933945602261,0.9402072568654349,stratified,lr,embed,validation,1206,301
0.9235880398671097,0.9239332096474954,0.9235846661589235,0.9235964741375748,stratified,lr,freq,validation,1206,301
0.9833887043189369,0.9836116264687693,0.9833857702710161,0.9833909048548772,stratified,lr,fusion,validation,1206,301
0.920265780730897,0.9206864564007422,0.9202649006622516,0.9202710611427692,stratified,rf,embed,validation,1206,301
0.9667774086378738,0.966295609152752,0.9667153220099081,0.9667487532711204,stratified,rf,freq,validation,1206,301
0.9269102990033222,0.9273345701917131,0.9269094922737307,0.9269151393808718,stratified,rf,fusion,validation,1206,301
