protocol,family,feature_kind,true_id,true_name,pred_id,pred_name,count
stratified,lr,freq,2,2,2,2,9
stratified,lr,freq,2,2,3,3,14
stratified,lr,freq,3,3,2,2,6
stratified,lr,freq,3,3,3,3,14
stratified,lr,embed,2,2,2,2,23
stratified,lr,embed,2,2,3,3,0
stratified,lr,embed,3,3,2,2,1
stratified,lr,embed,3,3,3,3,19
stratified,lr,fusion,2,2,2,2,23
stratified,lr,fusion,2,2,3,3,0
stratified,lr,fusion,3,3,2,2,1
stratified,lr,fusion,3,3,3,3,19
stratified,rf,freq,2,2,2,2,15
stratified,rf,freq,2,2,3,3,8
stratified,rf,freq,3,3,2,2,2
stratified,rf,freq,3,3,3,3,18
stratified,rf,embed,2,2,2,2,23
stratified,rf,embed,2,2,3,3,0
stratified,rf,embed,3,3,2,2,2
stratified,rf,embed,3,3,3,3,18
stratified,rf,fusion,2,2,2,2,22
stratified,rf,fusion,2,2,3,3,1
stratified,rf,fusion,3,3,2,2,2
stratified,rf,fusion,3,3,3,3,18
