family,protocol,class_id,class_name,support,freq_errors,fusion_errors,corrected_by_fusion,degraded_by_fusion,net_corrections,correction_rate_of_freq_errors,freq_class_f1,fusion_class_f1,delta_class_f1_pp
lr,stratified,0,0,131,0,1,0,1,-1,0.0,1.0,0.9885931558935361,-1.1406844106463865
lr,stratified,1,1,134,0,2,0,2,-2,0.0,1.0,0.9814126394052045,-1.8587360594795488
lr,stratified,2,2,147,9,11,8,10,-2,0.8888888888888888,0.9230769230769231,0.9315068493150684,0.8429926238145313
lr,stratified,3,3,154,14,10,12,8,4,0.8571428571428571,0.9240924092409241,0.935064935064935,1.0972525824010981
lr,stratified,4,4,2023,0,6,0,6,-6,0.0,1.0,0.9970341077607514,-0.2965892239248591
lr,board_lobo,0,0,653,0,17,0,17,-17,0.0,1.0,0.9747126436781609,-2.5287356321839094
lr,board_lobo,1,1,669,0,22,0,22,-22,0.0,1.0,0.9729323308270676,-2.706766917293235
lr,board_lobo,2,2,738,30,63,25,58,-33,0.8333333333333334,0.9346534653465347,0.8887425938117183,-4.591087153481643
lr,board_lobo,3,3,769,69,58,58,47,11,0.8405797101449275,0.933955970647098,0.8832298136645963,-5.072615698250171
lr,board_lobo,4,4,10115,0,133,0,133,-133,0.0,1.0,0.9920492943748758,-0.7950705625124233
lr,material_lomo,0,0,653,0,16,0,16,-16,0.0,1.0,0.9472118959107807,-5.27881040892193
lr,material_lomo,1,1,669,0,41,0,41,-41,0.0,1.0,0.9631901840490797,-3.6809815950920255
lr,material_lomo,2,2,738,86,59,75,48,27,0.872093023255814,0.8578947368421053,0.8835393623942746,2.5644625552169287
lr,material_lomo,3,3,769,130,69,111,50,61,0.8538461538461538,0.8554216867469879,0.9026434558349452,4.722176908795728
lr,material_lomo,4,4,10115,0,155,0,155,-155,0.0,1.0,0.9885365490546375,-1.1463450945362497
