section,name,value,status,details
quality,n_samples,12944,info,
quality,embedding_dim,512,info,
quality,embedding_nan_count,0,pass,
quality,embedding_inf_count,0,pass,
quality,duplicate_path_count,0,pass,
quality,nonzero_variance,true,pass,
quality,consistent_embedding_shape,true,pass,
quality,metadata_lengths_match,true,pass,
leakage_check,train_val_path_overlap_count,0,pass,
leakage_check,train_val_split_group_overlap_count,13,warn,The saved train/val split is stratified; grouped evaluations below explicitly hold out groups.
class_count,0:1_1H,653,info,
class_count,1:1_1T,669,info,
class_count,2:1_2,738,info,
class_count,3:2_1,769,info,
class_count,4:higher,10115,info,
board_count,C01,2733,info,
board_count,C02,2319,info,
board_count,C03,1637,info,
board_count,W01,2419,info,
board_count,W02,2370,info,
board_count,W03,1466,info,
material_count,carbon,6689,info,
material_count,wood,6255,info,
split_count,train,10355,info,
split_count,val,2589,info,
split_group_count,C01_ESPI_90db,2601,info,
split_group_count,C01_ESPI_90db-Averaged,132,info,
split_group_count,C02_ESPI_90db,2178,info,
split_group_count,C02_ESPI_90db-Averaged,141,info,
split_group_count,C03_ESPI_90db,1522,info,
split_group_count,C03_ESPI_90db-Averaged,115,info,
split_group_count,W01_ESPI_90db,2133,info,
split_group_count,W01_ESPI_90db-Averaged,143,info,
split_group_count,W01_ESPI_90db-PseudoNoisy_MATCH_v25,143,info,
split_group_count,W02_ESPI_90db,2221,info,
split_group_count,W02_ESPI_90db-Averaged,149,info,
split_group_count,W03_ESPI_90db,1369,info,
split_group_count,W03_ESPI_90db-Averaged,97,info,
