protocol,encoder_id,encoder_name,frequency_only_method,frequency_only_macro_f1,embedding_only_method,embedding_only_macro_f1,fusion_method,fusion_macro_f1,delta_fusion_minus_frequency_pp,delta_fusion_minus_embedding_pp
stratified_train_val,v6_1,v6.1,random_forest,0.9866861288039631,random_forest,0.950836357647718,balanced_logistic_regression,0.9786365661023277,-0.8049562701635371,2.780020845460973
board_grouped,v6_1,v6.1,balanced_logistic_regression,0.9748609579888732,random_forest,0.8908803730403659,random_forest,0.92790139185409,-4.695956613478314,3.7021018813724105
material_grouped,v6_1,v6.1,balanced_logistic_regression,0.9408561364311898,random_forest,0.8776757198710069,random_forest,0.9019834473671781,-3.8872689064011756,2.430772749617116
stratified_train_val,v6_2_a,v6.2-A,random_forest,0.9866861288039631,random_forest,0.9348100151719869,balanced_logistic_regression,0.9674609129599487,-1.9225215844014376,3.265089778796182
board_grouped,v6_2_a,v6.2-A,balanced_logistic_regression,0.9748609579888732,random_forest,0.9428118238555557,random_forest,0.9478550859511922,-2.700587203768101,0.5043262095636436
material_grouped,v6_2_a,v6.2-A,balanced_logistic_regression,0.9408561364311898,random_forest,0.9405498432710986,random_forest,0.9450017247513617,0.4145588320171867,0.4451881480263098
stratified_train_val,random_resnet18,Random ResNet-18,random_forest,0.9866861288039631,balanced_logistic_regression,0.844113949749216,balanced_logistic_regression,0.9554643920733421,-3.122173673062101,11.135044232412605
board_grouped,random_resnet18,Random ResNet-18,balanced_logistic_regression,0.9748609579888732,balanced_logistic_regression,0.3217028762048134,balanced_logistic_regression,0.5325131603198028,-44.23477976690704,21.081028411498938
material_grouped,random_resnet18,Random ResNet-18,balanced_logistic_regression,0.9408561364311898,balanced_logistic_regression,0.2544191480306869,balanced_logistic_regression,0.38349269265029023,-55.73634437808997,12.907354461960335
stratified_train_val,imagenet_resnet18,ImageNet ResNet-18,random_forest,0.9866861288039631,balanced_logistic_regression,0.8125247157987667,balanced_logistic_regression,0.9028129533785243,-8.387317542543881,9.028823757975758
board_grouped,imagenet_resnet18,ImageNet ResNet-18,balanced_logistic_regression,0.9748609579888732,balanced_logistic_regression,0.3793798576179885,balanced_logistic_regression,0.5250477912621878,-44.981316672668534,14.566793364419933
material_grouped,imagenet_resnet18,ImageNet ResNet-18,balanced_logistic_regression,0.9408561364311898,random_forest,0.23708601442737104,random_forest,0.39313875102273405,-54.77173854084558,15.605273659536302
