protocol,condition,display_name,condition_type,method,held_out_group,n_train,n_test,stress_test_note,accuracy,macro_recall,macro_f1
material_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.987143070713111,0.9418918918918919,0.9441804939708274
material_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.9792166266986411,0.937799043062201,0.9375317788915524
material_grouped,frequency_only,Frequency only,metadata_only,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.987143070713111,0.9418918918918919,0.9441804939708274
material_grouped,frequency_only,Frequency only,metadata_only,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.9792166266986411,0.937799043062201,0.9375317788915524
material_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.8771116758857826,0.7219237381143053,0.6526256877229313
material_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.8298960831334932,0.8475125378293352,0.7171229419158214
material_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.9606817162505606,0.8560546040065209,0.8951722630265924
material_grouped,v6_1_embedding_only,v6.1 embedding only,embedding_only,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.9440447641886491,0.8386712940934405,0.8601791767154214
material_grouped,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.9219614292121393,0.7582534153881946,0.715106821884889
material_grouped,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.9501199040767386,0.9010941012708317,0.8791524162299804
material_grouped,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.9680071759605322,0.8762312538346517,0.9141929236835038
material_grouped,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.9568345323741008,0.8707057511182086,0.8897739710508523
material_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.9693526685603229,0.9304735644669779,0.932156897615069
material_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.9443645083932853,0.9283298973657704,0.8899964004860413
material_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.9753326356705038,0.9172216823288618,0.9433040380458856
material_grouped,v6_2_a_embedding_only,v6.2-A embedding only,embedding_only,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.9705835331734612,0.9265896541546661,0.9377956484963115
material_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.9790701151143669,0.9406055022388872,0.9492816145049012
material_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.9702637889688249,0.9502589096916652,0.9312595914006636
material_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.97652862909254,0.9187266272100745,0.9454285273902064
material_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.9750599520383693,0.9296869696509112,0.9445749221125169
material_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.7409179249514127,0.2335588276922355,0.23668563042104723
material_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.6258992805755396,0.3311481230589539,0.2721526656403265
material_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.7871131708775602,0.2086505912513632,0.19384668988676484
material_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.7673860911270983,0.2005893377759267,0.17513498818618473
material_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.815667513828674,0.3761890863187667,0.3733124628200365
material_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.7544364508393285,0.46696379521457965,0.393672922480544
material_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.8300194348931081,0.33157819660843113,0.36518248757996397
material_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.7769784172661871,0.23933419521654814,0.24218456819867132
material_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.3263567050381223,0.2621257798676594,0.16826248628727253
material_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.7283772981614708,0.3231782767726136,0.2920469122780007
material_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.8044550754970847,0.2835717381096023,0.2884121103566269
material_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.769144684252598,0.2060520310360566,0.18575991849811518
material_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,carbon,6255,6689,descriptive stress-test only; two material groups available,0.498280759455823,0.33717015435226616,0.24956617329793582
material_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,wood,6689,6255,descriptive stress-test only; two material groups available,0.75171862509992,0.3998857519205258,0.3310444132160278
material_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,carbon,6255,6689,descriptive stress-test only; two material groups available,0.869487217820302,0.4739419329518487,0.4894820273726624
material_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,wood,6689,6255,descriptive stress-test only; two material groups available,0.7851318944844125,0.2740917389319945,0.2967954746728057
