protocol,condition,display_name,condition_type,method,n_train,class_id,label_name,support,precision,recall,f1,held_out_group,n_test,stress_test_note
stratified_train_val,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10355,0,1_1H,131,1.0,1.0,1.0,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10355,1,1_1T,134,1.0,1.0,1.0,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10355,2,1_2,147,0.9078947368421053,0.9387755102040817,0.923076923076923,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10355,3,2_1,154,0.9395973154362416,0.9090909090909091,0.9240924092409241,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10355,4,higher,2023,1.0,1.0,1.0,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,random_forest,10355,0,1_1H,131,1.0,1.0,1.0,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,random_forest,10355,1,1_1T,134,1.0,1.0,1.0,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,random_forest,10355,2,1_2,147,0.9858156028368794,0.9455782312925171,0.9652777777777778,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,random_forest,10355,3,2_1,154,0.95,0.987012987012987,0.9681528662420381,,,
stratified_train_val,frequency_only,Frequency only,metadata_only,random_forest,10355,4,higher,2023,1.0,1.0,1.0,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10355,0,1_1H,131,0.8775510204081632,0.9847328244274809,0.9280575539568345,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10355,1,1_1T,134,0.9357142857142857,0.9776119402985075,0.9562043795620438,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10355,2,1_2,147,0.8742138364779874,0.9455782312925171,0.9084967320261439,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10355,3,2_1,154,0.8103448275862069,0.9155844155844156,0.8597560975609756,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,balanced_logistic_regression,10355,4,higher,2023,0.9974606399187405,0.9708353929807217,0.9839679358717435,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,random_forest,10355,0,1_1H,131,0.9841269841269841,0.9465648854961832,0.9649805447470817,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,random_forest,10355,1,1_1T,134,0.9637681159420289,0.9925373134328358,0.9779411764705882,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,random_forest,10355,2,1_2,147,0.9121621621621622,0.9183673469387755,0.9152542372881356,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,random_forest,10355,3,2_1,154,0.9251700680272109,0.8831168831168831,0.9036544850498338,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,embedding_only,random_forest,10355,4,higher,2023,0.99064039408867,0.9940682155215027,0.9923513446829508,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,0,1_1H,131,1.0,1.0,1.0,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,1,1_1T,134,1.0,1.0,1.0,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,2,1_2,147,0.9337748344370861,0.9591836734693877,0.9463087248322147,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,3,2_1,154,0.96,0.935064935064935,0.9473684210526316,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,4,higher,2023,0.9995056846267919,0.9995056846267919,0.9995056846267919,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,random_forest,10355,0,1_1H,131,0.9922480620155039,0.9770992366412213,0.9846153846153846,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,frequency_embedding_fusion,random_forest,10355,1,1_1T,134,0.9852941176470589,1.0,0.9925925925925926,,,
