protocol,condition,display_name,method,macro_f1,mean_macro_f1,accuracy,macro_recall,worst_group,worst_group_macro_f1,best_group,best_group_macro_f1,n_groups
stratified_train_val,frequency_only,Frequency only,balanced_logistic_regression,0.9694338664635694,,0.9911162611046737,0.9695732838589983,,,,,
stratified_train_val,frequency_only,Frequency only,random_forest,0.9866861288039631,,0.9961375048281189,0.9865182436611007,,,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,balanced_logistic_regression,0.9272965397955483,,0.9671687910390112,0.9588685609167286,,,,,
stratified_train_val,v6_1_embedding_only,v6.1 embedding only,random_forest,0.950836357647718,,0.9806875241405948,0.946930928901236,,,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,balanced_logistic_regression,0.9786365661023277,,0.9934337582078022,0.9787508586322229,,,,,
stratified_train_val,v6_1_frequency_fusion,Frequency + v6.1 embedding,random_forest,0.972254452330177,,0.988798764001545,0.9672199042494085,,,,,
stratified_train_val,v6_2_a_embedding_only,v6.2-A embedding only,balanced_logistic_regression,0.9260198668851682,,0.9675550405561993,0.9354991877973319,,,,,
stratified_train_val,v6_2_a_embedding_only,v6.2-A embedding only,random_forest,0.9348100151719869,,0.9721900347624566,0.9180915394515223,,,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,balanced_logistic_regression,0.9674609129599487,,0.988798764001545,0.9682407312851632,,,,,
stratified_train_val,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,random_forest,0.9403228145499579,,0.9756662804171495,0.9230986972315629,,,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,balanced_logistic_regression,0.844113949749216,,0.9227500965623793,0.9142212599019814,,,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,random_forest,0.6054303800150843,,0.8609501738122828,0.49940345501735306,,,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,balanced_logistic_regression,0.9554643920733421,,0.9860950173812283,0.9579499839701944,,,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,random_forest,0.8208181216344632,,0.9262263422170722,0.7384862640302996,,,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,balanced_logistic_regression,0.8125247157987667,,0.9138663576670529,0.8495669312793689,,,,,
